id_dir,nome_dir
084fcd44-cfd3-44ea-a87b-104b59c68631,Aplicação
d61f319f-df73-4322-a96c-c05a20cce24b,Dados
ae0849ba-0cb3-410b-a2c1-90c0fe10d654,Música
35d06d56-7ba5-4abb-86fe-5c28959263d0,Trainees
0fae3071-4c42-4047-8261-6f283fa014ab,Visão Computacional
33f00a97-cb18-40fe-b1ed-90a30490ea6c,NLP
612764b4-8f10-432f-ae65-161adcc14214,Mídia
a4a79af9-b7d3-4dad-812c-72303867c816,Reinforcement Learning
d540c305-f679-484a-bbd6-202b8ce0f493,Machine Learning
8b3195e1-b77d-448b-968b-4330cc925bef,Saúde
97eacd7f-5b56-492c-8e05-34cd73643cec,Acadêmica
